Nth,Word,Subject Area,Unique Identifier
1,Virginia militia,,-1785368383941909542
2,Citizenship,,2218521715459564133
3,Sovereign state,,8910180831460953964
4,Centralized government,,-7346783964324730612
5,Power (social and political),,-1411171618796460419
6,Social science,,-4992383039364392347
7,Discipline (academia),,-3524377838262149241
8,Knowledge,,3603478596780230405
9,Fact,,-4328447044060676770
10,Proof (truth),,2135449381291655739
11,Necessity and sufficiency,,1730111156656812741
12,Logic,,-2616319139024698409
13,Reason,,3629452740040957490
14,Consciousness,,-1750234886732630810
15,Quality (philosophy),,-6874616529156327437
16,Property (philosophy),,-1235965008286240182
17,Modern philosophy,,-1281486413904626369
18,Philosophy,,-4426096117890198997
19,Reality,,6838181675192320399
20,Existence,,-3377596666978782727
21,World,,-4569653633827386823
22,Human,,2914993515490738934
23,Hominini,,-3609484609459671747
24,Tribe (biology),,-6431122079361772723
25,Biology,,8857403695854175394
26,Natural science,,4869065709104364642
27,Science,,-4672303739913961655
28,Knowledge,,3603478596780230405
,,,
8,Knowledge,,3603478596780230405
